Datetimecombined,original_Latitude,original_Longitude,Date,Time,datetime,Latitude,Longitude
06-12-2025 12:55:02,13.0196836666666,80.2414801666666,2025-12-06,12:55:02,2025-12-06 12:55:02,13.019674333174706,80.24151086453264
06-12-2025 12:55:03,13.0198535,80.2413901666666,2025-12-06,12:55:03,2025-12-06 12:55:03,13.019804305635438,80.24155196716404
06-12-2025 12:55:04,13.0198073333333,80.2415111666666,2025-12-06,12:55:04,2025-12-06 12:55:04,13.019795750762428,80.24154926176051
06-12-2025 12:55:05,13.0197911666666,80.2417133333333,2025-12-06,12:55:05,2025-12-06 12:55:05,13.01983707798983,80.24156233113528
06-12-2025 12:55:06,13.019895,80.241435,2025-12-06,12:55:06,2025-12-06 12:55:06,13.01985460095562,80.24156787262146
06-12-2025 12:55:07,13.019924,80.2417235,2025-12-06,12:55:07,2025-12-06 12:55:07,13.019960737627574,80.24160112530699
06-12-2025 12:55:08,13.0207366666666,80.2416448333333,2025-12-06,12:55:08,2025-12-06 12:55:08,13.020352839679617,80.24172602473634
06-12-2025 12:55:09,13.0207728333333,80.2414846666666,2025-12-06,12:55:09,2025-12-06 12:55:09,13.020352839679617,80.24172602473634
06-12-2025 12:55:10,13.0208278333333,80.2415046666666,2025-12-06,12:55:10,2025-12-06 12:55:10,,
06-12-2025 12:55:11,13.0208828333333,80.2415245,2025-12-06,12:55:11,2025-12-06 12:55:11,,
06-12-2025 12:55:12,13.0209378333333,80.2415443333333,2025-12-06,12:55:12,2025-12-06 12:55:12,,
